Category,Template Name,Subject Line
Celebratory-Motivational,first-proposal-confirmation,🎉 Your First Proposal Has Been Sent!
Celebratory-Motivational,listing-submitted-host,Your Listing is Live! 🏠
Celebratory-Motivational,profile-completed-simple,Profile Complete - You're All Set!
Celebratory-Motivational,profile-completed,✅ Your Profile is 100% Complete!
Celebratory-Motivational,proposal-accepted-host,Great News! Your Proposal Was Accepted
Celebratory-Motivational,welcome-guest,Welcome to Split Lease!
Celebratory-Motivational,welcome-host,Welcome to Split Lease $$firstname$$!
Educational-Empowering,base-template-updated,Important Updates for Your Account
Educational-Empowering,base-template,Tips to Maximize Your Split Lease Experience
Educational-Empowering,how-to-get-started,Getting Started with Split Lease - Quick Guide
Educational-Empowering,performance-report,Your Monthly Performance Report
Educational-Empowering,profile-quality-tips,5 Tips to Improve Your Profile
Educational-Empowering,proposal-tips,How to Create Winning Proposals
Gentle-Nudge-Reminder,base-template-updated,Quick Reminder from Split Lease
Gentle-Nudge-Reminder,base-template,Don't Forget - Action Required
Gentle-Nudge-Reminder,e-meet-request,Meeting Request - Let's Connect
Gentle-Nudge-Reminder,profile-completion-reminder,Complete Your Profile to Get Started
Neutral-Systemic,base-template-updated,Account Update Required
Neutral-Systemic,base-template,System Notification
Neutral-Systemic,lease-date-removal-request,Update Required: Lease Date Information
Supportive-Reassuring,base-template-updated,We're Here to Help
Supportive-Reassuring,base-template,Support Update from Split Lease
Supportive-Reassuring,host-guarantee-information,Your Host Guarantee Protection Details
Supportive-Reassuring,match-interest-alert,Someone's Interested in Your Space!
Supportive-Reassuring,move-in-instructions,Your Move-In Instructions
Supportive-Reassuring,multiple-applicants-available,Multiple Guests Interested in Your Listing
Supportive-Reassuring,multiple-proposals-encouragement,You Have Multiple Options Available
Supportive-Reassuring,pricing-comparison-alert,See How Your Pricing Compares
Supportive-Reassuring,sample-rental-agreement,Your Sample Rental Agreement
Supportive-Reassuring,welcome-new-user,Welcome to Split Lease Community
Urgent-Action-Oriented,base-template-updated,Action Required - Important Update
Urgent-Action-Oriented,base-template,Urgent: Response Needed
Urgent-Action-Oriented,nearby-success-story-elegant,A Host Near You Just Earned $$$
Urgent-Action-Oriented,nearby-success-story,Success Story: Host in Your Area Earning Big
